iter	RMSE
0	1617.483961
1	1548.725217
2	1486.67445
3	1433.234672
4	1387.245482
5	1347.831445
6	1313.005209
7	1282.587952
8	1257.61596
9	1235.258695
10	1215.738857
11	1195.817297
12	1181.007285
13	1167.250954
14	1153.259114
15	1143.372808
16	1132.835131
17	1125.420282
18	1119.177389
19	1113.700066
20	1108.936649
21	1103.784003
22	1099.63868
23	1095.008797
24	1091.754596
25	1088.211002
26	1085.174407
27	1082.863953
28	1080.442483
29	1078.653648
30	1077.377978
31	1076.389007
32	1075.184723
33	1074.265287
34	1073.514456
35	1072.531288
36	1071.80765
37	1071.099969
38	1070.013171
39	1069.199559
40	1069.032337
41	1068.778772
42	1068.019033
43	1067.548532
44	1067.244999
45	1066.725508
46	1066.340936
47	1066.299958
48	1066.036297
49	1065.916481
