iter	Passed	Remaining
0	62	3044
1	71	1711
2	80	1265
3	84	968
4	87	784
5	89	656
6	92	565
7	94	497
8	97	442
9	100	401
10	102	364
11	105	333
12	107	306
13	110	283
14	113	264
15	115	245
16	118	229
17	120	214
18	122	200
19	125	187
20	127	176
21	130	166
22	132	155
23	135	146
24	137	137
25	140	129
26	143	122
27	145	114
28	147	107
29	150	100
30	152	93
31	154	87
32	157	81
33	160	75
34	162	69
35	164	64
36	167	58
37	169	53
38	172	48
39	174	43
40	176	38
41	178	34
42	180	29
43	183	25
44	186	20
45	188	16
46	190	12
47	192	8
48	194	3
49	196	0
